FILE_NAME_1,FILE_NAME_2,TIME_STAMP_1,TIME_STAMP_2,RESULT_URL,PERC_SIM_1 [%],PERC_SIM_2 [%],LINES_MATCHES
ab0343-lim-50/2022-02-04_12-57-55_69206aec29723b7001715b50a71ac3fd5f9e5ee1.c,ab0383-lim-50/2022-02-04_12-53-57_ed6983d9f57a1e15f45073ac63b0e7609b3b07b7.c,2022-02-04_12-57-55,2022-02-04_12-53-57,http://moss.stanford.edu/results/7/2577632910019,64.0,58.0,242
ab0343-lim-50/2022-02-04_12-57-55_69206aec29723b7001715b50a71ac3fd5f9e5ee1.c,ab0383-lim-50/2022-02-04_12-52-57_12703cd664dfcc76adeab3be82f9394604c83018.c,2022-02-04_12-57-55,2022-02-04_12-52-57,http://moss.stanford.edu/results/7/2577632910019,64.0,56.0,242
ab0343-lim-50/2022-02-04_12-57-55_69206aec29723b7001715b50a71ac3fd5f9e5ee1.c,ab0383-lim-50/2022-02-04_12-51-27_0af7415737ad85d6869d1d3f024af0055f8e4279.c,2022-02-04_12-57-55,2022-02-04_12-51-27,http://moss.stanford.edu/results/7/2577632910019,64.0,58.0,242
ab0343-lim-50/2022-02-04_12-57-55_69206aec29723b7001715b50a71ac3fd5f9e5ee1.c,ab0383-lim-50/2022-02-04_12-39-57_6079724dfb05c02b90d3176d7bf26f0ba9048abe.c,2022-02-04_12-57-55,2022-02-04_12-39-57,http://moss.stanford.edu/results/7/2577632910019,64.0,58.0,242
ab0343-lim-50/2022-02-04_12-56-55_aaeb57d2a67f712462ea38b1c8888cbb43480301.c,ab0383-lim-50/2022-02-04_12-58-13_0e622a943958a2697b9d44aca28aebd0c4b302b8.c,2022-02-04_12-56-55,2022-02-04_12-58-13,http://moss.stanford.edu/results/7/2577632910019,63.0,58.0,244
ab0343-lim-50/2022-02-04_12-56-55_aaeb57d2a67f712462ea38b1c8888cbb43480301.c,ab0383-lim-50/2022-02-04_12-53-57_ed6983d9f57a1e15f45073ac63b0e7609b3b07b7.c,2022-02-04_12-56-55,2022-02-04_12-53-57,http://moss.stanford.edu/results/7/2577632910019,63.0,58.0,244
ab0343-lim-50/2022-02-04_12-56-55_aaeb57d2a67f712462ea38b1c8888cbb43480301.c,ab0383-lim-50/2022-02-04_12-52-57_12703cd664dfcc76adeab3be82f9394604c83018.c,2022-02-04_12-56-55,2022-02-04_12-52-57,http://moss.stanford.edu/results/7/2577632910019,63.0,56.0,244
ab0343-lim-50/2022-02-04_12-56-55_aaeb57d2a67f712462ea38b1c8888cbb43480301.c,ab0383-lim-50/2022-02-04_12-51-27_0af7415737ad85d6869d1d3f024af0055f8e4279.c,2022-02-04_12-56-55,2022-02-04_12-51-27,http://moss.stanford.edu/results/7/2577632910019,63.0,58.0,244
ab0343-lim-50/2022-02-04_12-56-55_aaeb57d2a67f712462ea38b1c8888cbb43480301.c,ab0383-lim-50/2022-02-04_12-39-57_6079724dfb05c02b90d3176d7bf26f0ba9048abe.c,2022-02-04_12-56-55,2022-02-04_12-39-57,http://moss.stanford.edu/results/7/2577632910019,63.0,58.0,244
ab0343-lim-50/2022-02-04_12-56-25_c8ca241908bb1b423094c44119b8057b6f86c754.c,ab0383-lim-50/2022-02-04_12-58-13_0e622a943958a2697b9d44aca28aebd0c4b302b8.c,2022-02-04_12-56-25,2022-02-04_12-58-13,http://moss.stanford.edu/results/7/2577632910019,63.0,58.0,242
ab0343-lim-50/2022-02-04_12-56-25_c8ca241908bb1b423094c44119b8057b6f86c754.c,ab0383-lim-50/2022-02-04_12-53-57_ed6983d9f57a1e15f45073ac63b0e7609b3b07b7.c,2022-02-04_12-56-25,2022-02-04_12-53-57,http://moss.stanford.edu/results/7/2577632910019,63.0,58.0,242
ab0343-lim-50/2022-02-04_12-56-25_c8ca241908bb1b423094c44119b8057b6f86c754.c,ab0383-lim-50/2022-02-04_12-52-57_12703cd664dfcc76adeab3be82f9394604c83018.c,2022-02-04_12-56-25,2022-02-04_12-52-57,http://moss.stanford.edu/results/7/2577632910019,63.0,56.0,242
ab0343-lim-50/2022-02-04_12-56-25_c8ca241908bb1b423094c44119b8057b6f86c754.c,ab0383-lim-50/2022-02-04_12-51-27_0af7415737ad85d6869d1d3f024af0055f8e4279.c,2022-02-04_12-56-25,2022-02-04_12-51-27,http://moss.stanford.edu/results/7/2577632910019,63.0,58.0,242
ab0343-lim-50/2022-02-04_12-56-25_c8ca241908bb1b423094c44119b8057b6f86c754.c,ab0383-lim-50/2022-02-04_12-39-57_6079724dfb05c02b90d3176d7bf26f0ba9048abe.c,2022-02-04_12-56-25,2022-02-04_12-39-57,http://moss.stanford.edu/results/7/2577632910019,63.0,58.0,242
ab0343-lim-50/2022-02-04_12-49-24_db9f574f8cfa1b8090855b11d56a831a2a6169a5.c,ab0383-lim-50/2022-02-04_12-58-13_0e622a943958a2697b9d44aca28aebd0c4b302b8.c,2022-02-04_12-49-24,2022-02-04_12-58-13,http://moss.stanford.edu/results/7/2577632910019,62.0,58.0,242
